Block/Room,bedsTaken,block,room,bedsAvailable,roomLocation,maxOccupancy,size,code,vacancyStatus,bedsRemaining,price
Block 2 Room 8,1,2,8,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 9,0,2,9,1,Ground Floor,1-in-a-room,Small,Ground Floor 1-in-a-room Small,VACANCY,1,11000
Block 2 Room 10,0,2,10,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 11,1,2,11,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 12,1,2,12,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 2 Room 13,2,2,13,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,1,3870
Block 2 Room 14,0,2,14,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 15,0,2,15,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 16,0,2,16,1,First Floor,1-in-a-room,Small,First Floor 1-in-a-room Small,VACANCY,1,11000
Block 2 Room 17,1,2,17,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,1,5500
Block 2 Room 18,2,2,18,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 2 Room 19,0,2,19,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 20,1,2,20,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 21,0,2,21,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 22,0,2,22,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 23,0,2,23,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 24,3,2,24,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,FULLY BOOKED,0,3870
Block 2 Room 25,0,2,25,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,2,5800
Block 2 Room 26,0,2,26,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 27,0,2,27,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 28,0,2,28,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 29,0,2,29,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 30,1,2,30,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,1,5500
Block 2 Room 31,0,2,31,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 32,0,2,32,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 33,0,2,33,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 34,2,2,34,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 2 Room 35,0,2,35,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 36,0,2,36,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,3,3870
Block 3 Room 1,3,3,1,4,Terrace,4-in-a-room,Small,Terrace 4-in-a-room Small,VACANCY,1,2900
Block 3 Room 2,0,3,2,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 3,2,3,3,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 3 Room 4,0,3,4,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 5,1,3,5,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 3 Room 6,1,3,6,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 7,1,3,7,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 8,0,3,8,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 9,1,3,9,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 3 Room 10,1,3,10,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 11,0,3,11,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 12,1,3,12,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,2,3870
Block 3 Room 13,2,3,13,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 3 Room 14,1,3,14,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,3,2750
Block 3 Room 15,0,3,15,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 16,0,3,16,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 17,0,3,17,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 18,1,3,18,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 19,2,3,19,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 3 Room 20,0,3,20,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 21,0,3,21,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 22,0,3,22,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 23,0,3,23,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 24,2,3,24,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 3 Room 25,1,3,25,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 3 Room 26,0,3,26,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 27,0,3,27,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 28,0,3,28,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 29,0,3,29,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 30,0,3,30,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 31,0,3,31,1,Second Floor,1-in-a-room,Small,Second Floor 1-in-a-room Small,VACANCY,1,11000
Block 3 Room 32,0,3,32,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 33,0,3,33,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 34,0,3,34,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 35,1,3,35,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 36,0,3,36,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,2,5800
Block 4 Room 1,4,4,1,4,Terrace,4-in-a-room,Small,Terrace 4-in-a-room Small,FULLY BOOKED,0,2900
Block 4 Room 2,0,4,2,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 3,3,4,3,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,1,2750
Block 4 Room 4,2,4,4,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 4 Room 5,0,4,5,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 6,0,4,6,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 7,1,4,7,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 4 Room 8,0,4,8,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 9,0,4,9,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 10,0,4,10,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 11,1,4,11,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 4 Room 12,2,4,12,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,1,3870
Block 4 Room 13,2,4,13,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 4 Room 14,0,4,14,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 15,0,4,15,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 16,0,4,16,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 17,1,4,17,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,1,5500
Block 4 Room 18,0,4,18,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 19,0,4,19,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 20,1,4,20,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,3,2750
Block 4 Room 21,0,4,21,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 22,0,4,22,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 23,0,4,23,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 24,1,4,24,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 4 Room 25,0,4,25,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,2,5800
Block 4 Room 26,0,4,26,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 27,1,4,27,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,3,2750
Block 4 Room 28,0,4,28,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 29,0,4,29,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
